23/7/14;GRUPO;Al2O3;P2O5;Na2O;MgO;SiO2;K2O;CaO;TiO2;MnO;Fe2O3;Rb;Sr;Pb;Sn;Zr;Nb;Cs;Ba;La;Ce;Pr;Nd;Sm;Eu;Gd;Tb;Dy;Ho;Er;Tm;Yb;Lu;Hf;Ta;Th;U;V;Cr;Co;Ni;Cu;Zn
TAL008;Talavera;149557,4;1852,7;7065,7;54142,3;480191,7;22572,8;219593,6;6509,9;641,3;49267,3;105,7;433,7;919,0;255,4;216,3;16,4;3,6;408,7;38,5;78,4;10,2;37,3;7,1;1,3;6,5;0,9;5,7;1,2;2,7;0,5;3,2;0,4;5,7;1,7;15,4;4,7;77,0;49,2;33,0;22,6;29,4;65,0
TAL014;Talavera;173773,1;2225,7;1913,2;49283,2;481351,4;30737,6;187942,2;6774,2;687,6;56790,2;170,2;327,6;1871,9;233,7;187,5;17,2;7,3;451,8;41,0;83,0;10,6;39,1;7,6;1,3;6,8;0,9;5,6;1,2;2,9;0,5;3,2;0,4;5,1;1,8;16,2;5,2;77,2;56,5;17,0;25,2;27,7;74,5
TAL015;Talavera;159527,2;2600,1;4028,3;44548,1;481361,9;36462,4;189693,4;6429,5;644,6;51036,5;145,2;300,1;806,7;30,2;201,7;16,2;5,8;450,7;40,3;83,2;10,8;39,2;7,4;1,3;6,6;0,9;5,8;1,2;2,8;0,5;3,2;0,5;5,5;1,7;16,3;5,2;68,6;53,7;14,1;37,7;36,5;148,2
MJ0104;Barcelona;147332,8;1739,1;948,3;19053,9;528029,3;38506,9;186748,8;6959,8;673,8;55743,1;205,1;188,3;3510,7;34,5;177,2;15,6;9,6;1260,8;38,9;76,6;10,0;35,4;6,6;1,4;6,2;0,8;5,3;1,1;2,6;0,5;3,1;0,4;4,5;1,6;13,9;3,4;98,0;60,6;16,9;34,3;44,2;97,9
MJ0107;Barcelona;162310,4;2007,8;10901,5;19554,1;526881,5;21329,5;169423,6;7321,6;622,5;56880,1;205,8;193,6;7111,3;85,0;195,0;16,8;14,5;562,2;42,1;83,1;10,8;44,1;7,3;1,4;6,6;0,9;5,9;1,2;3,0;0,5;3,2;0,5;5,3;1,9;15,1;3,7;112,0;71,1;17,0;35,6;68,0;99,0
MJ0110;Barcelona;153947,8;1657,7;4862,4;20390,2;521920,8;32999,0;166905,5;7426,8;687,9;61334,9;204,0;177,8;6828,4;112,3;179,7;15,4;12,5;495,1;40,6;77,9;10,2;37,0;6,7;1,4;6,1;0,8;5,3;1,2;2,8;0,5;3,1;0,4;4,7;1,7;14,2;3,6;117,6;72,3;17,8;35,6;42,1;95,8
MJ0115;Barcelona;154446,0;1878,6;869,8;23928,2;552882,7;39690,6;141549,0;7265,4;636,5;59638,7;221,7;184,0;4020,6;36,8;223,3;16,5;12,8;510,3;42,7;83,2;10,7;40,4;7,3;1,4;6,7;0,9;5,9;1,2;2,9;0,5;3,4;0,5;5,8;1,6;15,0;3,9;96,7;68,1;18,4;36,5;44,7;96,7
MJ0116;Barcelona;161906,8;2936,8;862,2;23297,9;523532,7;43164,8;160955,3;7424,8;656,8;60698,4;234,2;205,1;2329,2;63,4;164,6;16,2;12,5;549,2;41,0;79,6;10,3;37,6;6,8;1,4;6,4;0,8;5,4;1,1;2,6;0,5;3,1;0,4;4,4;1,5;14,6;3,7;107,2;68,1;19,3;35,4;48,0;99,7
MJ0142;Manises;151241,5;907,9;172,4;30080,3;485807,2;30448,0;237909,5;6452,5;695,5;52610,5;126,9;387,3;3285,8;43,2;183,1;15,8;5,5;397,5;41,3;78,1;10,4;38,0;7,1;1,4;6,3;0,8;5,4;1,1;2,5;0,5;3,1;0,4;4,9;1,6;13,1;3,7;96,1;64,4;14,2;33,4;78,6;56,5
MJ0144;Manises;155306,8;1085,7;345,9;31410,0;480080,9;31775,8;266436,7;6623,7;645,9;54097,0;132,0;372,1;2666,4;35,5;167,7;15,4;6,1;388,9;38,2;70,6;9,4;34,0;6,5;1,3;5,8;0,9;4,7;1,1;2,4;0,4;2,9;0,4;4,4;1,5;12,5;3,3;92,1;72,1;15,1;40,8;87,1;64,5
MJ0145;Manises;154597,2;1209,0;0,0;25262,4;535770,2;33618,9;234982,3;6792,9;666,0;54518,0;137,1;289,7;2790,3;43,1;197,6;16,0;5,4;368,1;39,1;74,5;9,8;35,5;6,6;1,3;6,1;0,9;5,5;1,3;2,9;0,5;3,4;0,5;4,9;1,6;13,0;3,6;96,5;69,8;16,4;53,0;86,9;64,0
MJ0148;Manises;149360,4;1080,2;881,5;31008,1;493806,1;27315,1;259225,1;6576,6;660,0;55912,3;106,5;364,6;4703,4;100,0;170,4;15,4;3,5;415,5;38,3;72,6;9,6;34,5;6,6;1,3;5,9;0,8;4,9;1,0;2,4;0,5;2,9;0,4;4,4;1,4;12,4;3,2;101,9;74,2;22,2;42,1;271,0;62,6
MJ0149;Manises;136657,3;1242,9;0,0;26305,4;476665,2;29319,2;279970,3;6519,1;652,2;50076,8;100,0;375,2;3713,9;587,0;176,5;14,7;3,6;366,1;37,6;71,6;9,3;33,8;6,3;1,3;6,0;0,8;4,9;1,0;2,5;0,4;2,8;0,4;4,6;1,4;12,1;3,5;83,6;63,4;24,2;49,6;117,2;58,6
