ANID;SITE;MUNICIPALITY;REGION;UE;CHRONOLOGY;TYPOLOGY;TYPOLOGY.2;FORM;GROUP;FAMILY;PROJECT;Cronologia_desde;Cronologia_hasta;Al;As;Ba;Ca;Ce;Co;Cr;Cs;Dy;Eu;Fe;Hf;K;La;Lu;Mn;Nd;Na;Rb;Sb;Sc;Sm;Sr;Ta;Tb;Th;Ti;U;V;Yb;Zn;Zr
DUR027;Durango;Durango;The Basque Country;NA;1900-1960;Uncoated;Non assigned;Kiln Utensil;DUR;Kiln Utensil;PhD;1900;1960;84333.7;12.1;404.8;66262;78.5;219.7;70.6;11.9;5.3;1.2;31629.9;7.7;22223.9;39.6;0.3;448.3;31.7;4714.6;153.6;1.4;12.3;6.5;192;2.2;0.8;14.2;4967.6;3.1;77.9;2.8;78.6;195.7
ORD003;Tras Santiago;Orduna;The Basque Country;NA;1788-1850;Tin lead glazed ;Non assigned;Bowl;ORD_A;Household;PhD;1788;1850;63404.3;8.3;204;150297.7;49.5;78.5;45.1;10;2.9;0.6;22765.5;4.6;13660.5;23.1;0.2;256.5;20;3948.6;97.5;1.1;7.9;3.9;690.9;1.5;0.5;10.1;2997.4;2.2;50.6;1.6;56;120.3
ORD011;Tras Santiago;Orduna;The Basque Country;NA;1788-1850;Tin lead glazed ;Non assigned;Jar;ORD_MEL_A;Tableware;PhD;1788;1850;88113.5;14.6;404.7;8854.5;86.8;44.4;66.8;12.8;5.9;1.2;30019.2;9.5;24363.4;42;0.4;131.5;38;7424.8;157.4;1.5;11.5;7.3;146.4;2;1.1;16.3;5055.3;3.4;83.1;3.4;88.4;248.2
ORD020;Tras Santiago;Orduna;The Basque Country;NA;1788-1850;Tin lead glazed ;Non assigned;Jar;ORD_A;Tableware;PhD;1788;1850;77769.8;12.4;236.7;140647.7;59.5;28.1;49.5;11.3;3.6;0.8;28119.6;4.9;15463.8;27.8;0.3;218.9;25.4;4210.5;117.4;2;9.9;4.7;586.9;1.4;0.6;12;3408.8;2.3;62;2.1;72.2;137.7
ORD037;Tras Santiago;Orduna;The Basque Country;NA;1788-1850;Uncoated;Non assigned;Kiln-furniture;ORD_A;Kiln-furniture;PhD;1788;1850;77383.5;10.2;324.5;151494.5;62.2;20.6;56.6;10.8;3.8;0.9;29659.6;5.7;15341.6;29.3;0.3;331.3;22.3;5474.4;125.4;3.3;10;5.2;593.6;1.6;0.7;12.6;3615.4;3;64.1;2;73.6;156.4
ORD046;Tras Santiago;Orduna;The Basque Country;NA;1788-1850;Tin lead glazed ;Non assigned;Bowl;"ORD_A";Household;PhD;1788;1850;75373.9;12.1;239.4;147442.7;59.9;11.4;52.4;9.2;3.9;0.9;26392.8;5;12231.4;27.7;0.3;261.9;23.8;3773.9;85.3;1.2;9.4;5;460.6;1.4;0.7;11.5;3103.8;2.5;81.3;2.3;78.2;108.9
ORD047;Tras Santiago;Orduna;The Basque Country;2;1788-1850;Lead glazed;Non assigned;Jar;ORD_MEL_A;Tableware;PhD;1788;1850;96271.3;9.4;473.9;43687.1;93.5;34.7;77.4;15.3;5.2;1.3;35268;7.3;27960.5;44.8;0.3;108.5;37.3;6767.3;193;1.5;13.5;7.2;342.1;1.9;1;17;4653.9;3.5;94.6;2.7;91;149.1
ORD053;Tras Santiago;Orduna;The Basque Country;2;1788-1850;Lead glazed;Non assigned;Bowl;NO_ANALIZADA;Household;PhD;1788;1850;91454.7;14.7;391.5;7971.8;88.6;85.4;75.5;13.5;5.2;1.1;38740.7;9.3;23647.4;43.4;0.4;80.6;37.7;5957.2;170.1;1.3;12.6;6.7;127.3;2.1;0.8;16.9;5010.3;3.9;94;3.2;74.9;205.5
ORD056;Tras Santiago;Orduna;The Basque Country;2;1788-1850;Tin lead glazed ;Micaceous;Pot;ORD_MIC;Household;PhD;1788;1850;141905.6;13.8;260;10504.6;30;16.2;17.7;50.8;8.1;0.9;19998.5;3.9;32215.9;18.7;0.7;273.3;20.6;1859;616.6;1;6.4;5.4;170;9.8;1.3;5;709.1;8.2;20.7;4.3;87.6;103.7
ORD058;Tras Santiago;Orduna;The Basque Country;2;1788-1850;Uncoated;Micaceous;Inform;ORD_MIC;Inform;PhD;1788;1850;147650.3;18.2;212.8;8535.6;28.2;32.4;17.2;53.7;7.1;0.6;22223.8;4;33787.2;14.1;0.5;271;14.8;2168.2;580;0.5;6.3;4.3;159.7;7.9;1.1;5.1;860.2;9.7;21.3;3.6;80.6;84.6
ORD061;Tras Santiago;Orduna;The Basque Country;NA;1788-1850;Tin lead glazed ;Non assigned;Bowl;ORD_A;Household;PhD;1788;1850;76137.4;13.9;241.7;150705.7;58.1;12.3;55.7;14.3;3.8;0.9;27951.7;5;16550.2;28.5;0.3;332.5;23.1;6329;125.2;3.5;10;5;609.5;1.5;0.6;11.9;3579;3;72.9;2;133.8;104
ORD064;Zaharra 24-30;Orduna;The Basque Country;2060;1735-1765;Uncoated;Non assigned;Kiln-furniture;ORD_A;Kiln-furniture;PhD;1735;1765;65984.9;11.2;275.9;107552.6;60.4;23.2;52.7;10.6;4;0.9;24840.8;6.7;15993.8;29.2;0.3;234.2;22.9;6522.4;114.2;2;9.1;5.1;337.2;1.6;0.8;12;3419.4;2.9;57.6;2.5;89.9;142.9
ORD065;Zaharra 24-30;Orduna;The Basque Country;2060;1735-1765;Uncoated;Non assigned;Kiln-furniture;ORD_C;Kiln-furniture;PhD;1735;1765;68616.7;14.1;214.9;151144.8;56.5;20.3;59.7;11;3.5;0.7;27056.1;4.6;15595;26.5;0.2;211.3;23.2;4961.3;112.8;6.2;9.2;4.5;702.9;1.3;0.6;11.3;3229.9;2.7;84.7;1.8;97.4;115.6
ORD070;Zaharra 24-30;Orduna;The Basque Country;2030;1790-1820;Tin lead glazed ;Non assigned;Plate;ORD_A;Tableware;PhD;1790;1820;82245.3;8.7;255.2;111429.4;59.1;12.3;63.5;14.3;4;0.8;28068.8;5.6;19244.4;27.9;0.3;315.6;23.9;6566.4;144.1;1.6;10.4;4.8;393.7;1.7;0.6;12.6;4055.4;2.6;71.6;2.3;104.7;127
ORD085;Zaharra 2-4;Orduna;The Basque Country;80;1694-1750;Tin lead glazed ;Non assigned;Plate;ORD_B;Tableware;PhD;1694;1750;80133.2;14.4;340.7;116621;71.5;17.9;74.7;8.6;4.8;1.1;20840;5;20864.5;34.6;0.3;166.9;29.5;1306.7;121.7;2.1;12;6.2;329.5;1.3;0.8;12.2;4158.5;3;86.9;2.5;82.4;133.5
ORD086;Zaharra 2-4;Orduna;The Basque Country;80;1694-1750;Tin lead glazed ;Non assigned;Bowl;ORD_B;Household;PhD;1694;1750;89244.5;16.1;390.9;116946;78.7;20.3;83.9;10.6;5.4;1.3;23188.9;4.7;20727.1;38;0.4;201.3;34.3;2162.6;143.3;1.5;13.6;7;346.9;1.4;0.9;13;4441.6;3.4;101.6;2.7;89.9;139
ORD096;Zaharra 2-4;Orduna;The Basque Country;80;1694-1750;Tin lead glazed ;Non assigned;Bowl;ORD_B;Household;PhD;1694;1750;71934.9;12.5;334;130033.5;64.9;11.5;56.6;8.8;4.4;1.1;18706.1;4.1;21148.4;31;0.3;178;27.1;1235.3;117.9;1.4;10.9;5.8;356.2;1.1;0.7;10.6;3524.8;2.6;88.4;2.4;56.4;116.9
NAJ002;Alcazar de Najera;Najera;La Rioja;NA;1500-1600;Tin lead glazed ;Non assigned;Porringer;NAJ;Tableware;PhD;1500;1600;96739.2;15.9;391.2;114393.7;73.1;22.1;74.6;17.2;4.7;1.1;25596.3;4.1;31515.8;35.6;0.3;185.3;28.9;3648.4;189.4;1.1;13.3;6.3;581.3;1.6;0.8;13.4;3668.7;3.5;95.4;2.4;98.9;94.8
NAJ008;Alcazar de Najera;Najera;La Rioja;NA;1500-1600;Tin lead glazed ;Non assigned;Porringer;NAJ;Tableware;PhD;1500;1600;97191.9;15.7;453.5;108894.6;79.4;13.2;75.7;15;5.2;1.2;25665.5;5;29466.5;38.6;0.5;206.4;33.5;4050.1;165.8;1;13.5;6.8;669.7;1.6;0.9;14.4;3784.2;4;95.4;2.7;112.7;138.4
NAJ028;Alcazar de Najera;Najera;La Rioja;NA;1500-1600;Tin lead glazed ;Non assigned;Bowl;"NAJ";Household;PhD;1500;1600;73208.5;13.4;335.6;173915.5;59.1;12.6;59.6;8.8;4;0.9;23267;3.9;12503.3;28.8;0.3;216.6;25.6;5178.9;91.2;1;9.8;5.2;825;1.3;0.6;10.9;3606.9;2.5;78.8;2.2;63.2;97.6
NAJ041;Alcazar de Najera;Najera;La Rioja;NA;1500-1600;Tin lead glazed ;Non assigned;Plate;NAJ;Tableware;PhD;1500;1600;96974.2;12.5;405.9;135920.7;73.3;37.8;74.4;14.1;5.2;1.2;24341;4.4;26197.8;35.7;0.3;192.8;30.4;4877.4;162;1.1;12.7;6.8;1002.4;1.5;1;13.3;3956.6;3;87.5;2.5;79.5;117.7
NAJ044;Alcazar de Najera;Najera;La Rioja;NA;1500-1600;Tin lead glazed ;Non assigned;Plate;NAJ;Tableware;PhD;1500;1600;90157.8;14.2;420.2;129301.8;71.2;21.3;68.2;15.4;4.6;1;24397.9;4.6;26354.9;34.8;0.4;180;28.7;5966.3;178.9;1.1;12.2;6.2;741.2;1.6;0.7;13.3;3674.9;3.7;71.7;2.3;67.5;130.3
NAJ064;Alcazar de Najera;Najera;La Rioja;NA;1500-1600;Tin lead glazed ;Non assigned;Jar;NAJ;Tableware;PhD;1500;1600;92336.5;15.2;470.7;118751.6;74;25.1;70.3;15.8;4.8;1.1;25260.1;4.4;29142.5;35.7;0.3;197.3;31;3673.4;181.2;0.9;12.7;6.5;603;1.5;0.8;13.2;3425.9;3.7;72.9;2.5;98.5;134.1
NAJ066;Alcazar de Najera;Najera;La Rioja;NA;1500-1600;Tin lead glazed ;Non assigned;Jar;NAJ;Tableware;PhD;1500;1600;80518.7;14.5;382;127852.4;65.1;26.2;60.7;12.1;4.4;1;22059.4;4.5;23659.4;32.1;0.3;244.9;28.1;4788.7;135.9;1;11.4;5.8;683.4;1.5;0.7;12.2;3603;3.6;73.1;2.6;73.9;129.9
NAJ068;Alcazar de Najera;Najera;La Rioja;NA;1500-1600;Tin lead glazed ;Non assigned;Jar;NAJ;Tableware;PhD;1500;1600;95759.2;17.1;425.3;96164.4;79;29.3;73.3;15.2;4.9;1.3;26385.8;5;32887;38.5;0.3;183;34.8;3777.6;169.9;1.1;13.4;7.1;790.6;1.6;0.8;14.4;4069.7;3.9;86.6;2.6;85;130.5
NAJ085;Alcazar de Najera;Najera;La Rioja;NA;1500-1600;Tin lead glazed ;Non assigned;Jar;NAJ;Tableware;PhD;1500;1600;85488.2;15.9;381.4;118391.6;71.7;24.7;65.9;13.5;4.4;1.1;21629.4;4.8;19533;35;0.3;157.3;29.9;4943.8;143.1;1;11.5;6.4;661.1;1.6;0.7;13;3519.2;3.2;86.5;2.2;59.3;136.5
NAJ087;Alcazar de Najera;Najera;La Rioja;NA;1500-1600;Tin lead glazed ;Non assigned;Porringer;NAJ;Tableware;PhD;1500;1600;91801.2;14.7;410.9;100149.3;75.2;15.7;67.4;14.1;5;1.3;21146.6;5.2;24371.2;36.1;0.3;216.4;35.3;4503.3;157.3;1;11.8;7.2;636.3;1.6;0.9;14.1;4363.9;4.2;108;2.7;62;126.8
NAJ095;Alcazar de Najera;Najera;La Rioja;NA;1500-1600;Uncoated;Micaceous;Cover;MIC_NAJ;Storage;PhD;1500;1600;129319.3;17.2;403.9;22583.1;62.9;31.7;50.5;12.5;7.1;1.1;24149;4.4;29601.1;31.3;0.3;252.5;28.1;2842.2;138.6;0.9;10.9;6.2;654.9;1.3;0.8;12;1224.6;2.8;21.1;2.5;151.9;119.1
NAJ096;Alcazar de Najera;Najera;La Rioja;NA;1500-1600;Uncoated;Micaceous;tray;MIC_NAJ;Household;PhD;1500;1600;109138.2;11.2;267.2;36134.4;29.8;3;16.4;60.4;4.9;0.6;14706.1;3.5;28327.9;15.5;0.5;330.3;16.7;3747.2;472.6;0.4;5.4;4.1;125.5;6.2;0.9;5.1;1222.8;6;20.9;2.6;87.9;86.5
NAJ100;Alcazar de Najera;Najera;La Rioja;NA;1500-1600;Uncoated;Micaceous;Big jar;MIC_NAJ;Tableware;PhD;1500;1600;126306.7;4.9;235.3;35758.3;30.5;3.2;15.3;67.3;6.8;0.8;15493.2;4;25546.5;17.1;0.5;293.3;18.4;2030.2;514.6;0.5;6.7;4.7;146.3;7.5;1;5.4;964.8;6.3;17.3;2.8;79.7;92.8
LOG001;Hospital Viejo ;Logrono;La Rioja;277;1290-1350;Uncoated;Non assigned;Pitcher;LOG_G01;Tableware;PhD;1290;1350;114414.2;23;636;61299.6;103.3;19.4;107.5;13.6;5.4;1.7;52097.9;3.8;35731.5;51.7;0.4;408.4;44.8;4510.2;186.3;2.3;17.8;8.5;483;1.3;0.9;16.1;4425.1;4;151.9;2.9;105.9;97.8
LOG003;Hospital Viejo ;Logrono;La Rioja;277;1290-1350;Lead glazed;Non assigned;"Pitcher";LOG_G01;Tableware;PhD;1290;1350;113718;28.5;553.8;64294.8;105.2;23;109.3;14.3;5.5;1.7;53397.6;3.8;34451.2;51.8;0.5;412.6;45;3955.3;186;2.4;18.2;8.8;473.7;1.4;1.2;16.4;4405.8;3.9;136.8;2.8;110.7;99.6
LOG007;Hospital Viejo ;Logrono;La Rioja;277;1290-1350;Uncoated;Non assigned;Botija;LOG_G01;Storage;PhD;1290;1350;108714.8;10.4;472.6;72221.8;99.9;28.4;103.2;13.7;5.2;1.6;50343.8;3.8;32615.9;49.6;0.4;428;43.6;4320.2;180.7;2.1;17.1;8.4;486.3;1.3;0.9;15.7;4537.7;3.5;143.4;2.9;105.8;120
LOG028;Hospital Viejo ;Logrono;La Rioja;277;1290-1350;Lead glazed;Non assigned;Jar;LOG_G02;Tableware;PhD;1290;1350;83323;6.8;412.1;37730.2;86.7;58.4;87;12.2;5.1;1.4;41891.1;5.8;28542.4;42.2;0.3;402.2;36.2;4261.9;160.6;2.3;14;7.3;185.4;1.4;0.8;13.9;4301.6;3.1;108.8;2.8;92;154.5
LOG033;Hospital Viejo ;Logrono;La Rioja;165;1466-1500;Uncoated;Non assigned;Kiln Utensil;LOG_G02;Kiln Utensil;PhD;1466;1500;85094.5;25.6;482.3;102298.3;77.2;19;75.8;10.5;5;1.3;38416.5;4.1;33293.5;37.9;0.4;474.8;32.2;4450.5;149.8;2.3;13.2;6.8;507.3;1.2;0.8;12.5;4018.6;3.3;94.2;2.5;85.3;134.6
LOG034;Hospital Viejo ;Logrono;La Rioja;223;1100-1300;Uncoated;Non assigned;Kiln Utensil;LOG_G03;Kiln Utensil;PhD;1100;1300;87964.6;17.5;492.9;91540.6;82.7;23.9;85.7;12.2;4.7;1.4;42232.4;4.4;30561.8;40.6;0.4;527.9;38.7;5352;172.2;2.3;14.5;7.2;497.3;1.2;0.8;13.5;3664.3;4;90.7;2.6;93.7;96.5
LOG035;Hospital Viejo ;Logrono;La Rioja;312;1466-1500;Uncoated;Non assigned;Kiln Utensil;LOG_OUT;Kiln Utensil;PhD;1466;1500;79719.1;10.1;403.6;149253.4;67;15.6;76.1;11.2;3.8;1.1;33724.9;3.4;24459.5;33.3;0.3;345.8;28.4;5994.8;156;1.6;11.8;5.8;822;1.1;0.8;11.2;3212.3;3.4;93.8;2.1;75.9;110.9
LOG042;Hospital Viejo ;Logrono;La Rioja;252;1433-1466;Tin lead glazed ;Non assigned;Bowl;LOG_TER;Household;PhD;1433;1466;99035.6;20.6;533.1;57040;80.5;32.6;79.3;19.3;5.1;1.3;41513.3;4.8;39304.2;39.7;0.4;357.2;34.3;1471.4;234.6;2;14.5;7;214.3;1.6;0.9;13.7;3892.7;3.8;88.8;2.8;74.6;125.4
LOG043;Hospital Viejo ;Logrono;La Rioja;288;1400-1433;Tin lead glazed ;Non assigned;Bowl;LOG_TER;Household;PhD;1400;1433;92981;15.7;506.1;60298.2;77.6;27.4;72.1;18;5;1.3;38202.2;5;36514.4;38.2;0.3;357.4;33.5;1771.9;215.9;1.6;13.2;6.9;191.2;1.5;0.8;13.4;3688.4;3.1;77;2.7;79.3;124.8
LOG044;Hospital Viejo ;Logrono;La Rioja;288;1400-1433;Tin lead glazed ;Non assigned;Bowl;"LOG_TER";Household;PhD;1400;1433;98892.1;18.8;460.4;68258.1;78.9;23.4;78.8;19.3;5.1;1.4;41272.7;4.7;36398.3;38.5;0.4;373.9;33.7;1804;230.6;1.7;14.2;7;171.8;1.6;0.9;13.3;3730.1;2.9;87.9;2.5;81.9;146.1
LOG048;Hospital Viejo ;Logrono;La Rioja;288;1400-1433;Tin lead glazed ;Non assigned;Bowl;LOG_TER;Household;PhD;1400;1433;89313;13.8;471.2;59279.8;77.2;27.2;70.5;17.5;4.9;1.2;36866.2;5.1;35921.5;37.4;0.3;340.2;32;1464.9;220.1;1.5;12.8;6.8;227.1;1.5;0.9;13.1;3591.6;3.4;84.3;2.6;67.8;115.7
LOG050;Hospital Viejo ;Logrono;La Rioja;255;1350-1400;Lead glazed;Non assigned;Undefined;LOG_G02;Undefined;PhD;1350;1400;100487.9;7.7;521.1;49322.2;97.4;50.4;95.2;13.9;5.4;1.6;46536.2;5.7;33093.7;48.2;0.4;389.9;43.4;4535.3;172.2;2.4;15.9;8.4;277.6;1.5;0.9;15.5;4613.3;4.1;130.3;3.2;95;157.6
LOG051;Hospital Viejo ;Logrono;La Rioja;280;1200-1500?;Lead glazed;Non assigned;Undefined;LOG_G03;Undefined;PhD;1200;1500;103027.4;24.6;520.5;71340.6;88;27.9;92.8;13.2;5.1;1.4;44864.7;4.3;32107;43.6;0.4;398.1;38.9;4731.5;176.6;2;15.6;7.6;498.7;1.3;1.4;14.3;4177.9;3.3;151.6;2.8;120.4;132.6
LOG054;Hospital Viejo ;Logrono;La Rioja;221;1600-1800;Lead glazed;Non assigned;Mortar;LOG_G03;Production;PhD;1600;1800;99078.5;10.6;447.1;85719;96.8;48.3;102.3;13.2;5.3;1.6;49440.6;4.3;31321.9;48;0.3;525.1;38.5;4761.3;176;8.4;16.8;8;536.9;1.4;0.9;15.4;3773.2;3.5;128.6;2.6;104.5;140.6
LOG056;Hospital Viejo ;Logrono;La Rioja;179;1433-1466;Uncoated;Non assigned;Jar;LOG_G02;Tableware;PhD;1433;1466;89285.7;8.4;498.3;46453.7;88.8;36.5;85.5;12.1;5.2;1.4;41957.6;5.6;27857.9;43.3;0.4;381.1;38.6;3649.4;158.4;1.9;14.2;7.7;313.6;1.3;0.9;14.1;4221.5;3.1;115.7;2.8;88.2;146
